cod_ine,municipio,provincia,poblacion,latitud,longitud
5007,ALDEANUEVA DE SANTA CRUZ,ÁVILA,102,40.38196,-5.419593
5008,ALDEASECA,ÁVILA,203,41.049202,-4.817519
5016,ARÉVALO,ÁVILA,7830,41.065505,-4.718925
5034,BLASCONUÑO DE MATACABRAS,ÁVILA,14,41.123872,-4.989882
5035,BLASCOSANCHO,ÁVILA,100,40.878249,-4.637347
5037,BOHOYO,ÁVILA,214,40.316655,-5.442655
5042,CABEZAS DE ALAMBRE,ÁVILA,153,40.943158,-4.840579
5048,CANTIVEROS,ÁVILA,99,40.951929,-4.956185
5056,CASTELLANOS DE ZAPARDIEL,ÁVILA,113,41.084718,-4.908902
5059,CILLÁN,ÁVILA,79,40.704366,-4.977995
5060,CISLA,ÁVILA,102,40.965295,-5.013227
5063,COLLADO DEL MIRÓN,ÁVILA,20,40.55449,-5.353557
5070,DONVIDAS,ÁVILA,36,41.08864,-4.804724
5022,EL BARRACO,ÁVILA,2027,40.476079,-4.641142
5036,EL BOHODÓN,ÁVILA,110,40.916264,-4.729838
5175,EL OSO,ÁVILA,129,40.842842,-4.77127
5241,EL TIEMBLO,ÁVILA,4526,40.415683,-4.500749
5072,ESPINOSA DE LOS CABALLEROS,ÁVILA,97,41.009119,-4.650974
5073,FLORES DE ÁVILA,ÁVILA,270,40.934203,-5.078097
5077,FUENTE EL SAÚZ,ÁVILA,151,40.977514,-4.909221
5080,GALLEGOS DE SOBRINOS,ÁVILA,45,40.717329,-5.112086
5081,GARGANTA DEL VILLAR,ÁVILA,39,40.449708,-5.105238
5082,GAVILANES,ÁVILA,529,40.276857,-4.85384
5083,GEMUÑO,ÁVILA,142,40.592925,-4.782303
5084,GILBUENA,ÁVILA,48,40.414288,-5.608838
5092,HERNANSANCHO,ÁVILA,142,40.857489,-4.730337
5093,HERRADÓN DE PINARES,ÁVILA,495,40.565312,-4.56023
5095,HIGUERA DE LAS DUEÑAS,ÁVILA,270,40.237883,-4.601122
5106,HOYOS DE MIGUEL MUÑOZ,ÁVILA,27,40.393433,-5.066902
5104,HOYOS DEL COLLADO,ÁVILA,30,40.358702,-5.199375
5105,HOYOS DEL ESPINO,ÁVILA,344,40.362041,-5.179052
5051,LA CARRERA,ÁVILA,160,40.347336,-5.555148
5110,LANZAHÍTA,ÁVILA,788,40.203679,-4.936954
5027,LAS BERLANAS,ÁVILA,323,40.803561,-4.761169
5168,LAS NAVAS DEL MARQUÉS,ÁVILA,5590,40.603046,-4.326009
5113,LOS LLANOS DE TORMES,ÁVILA,103,40.328312,-5.498676
