municipio_id,base_asignada_id,tiempo_minutos,id_mun,municipio,poblacion,lat_muni,lon_muni,id_base,helipuerto_nombre,lat_heli,lon_heli,distancia_km
5007,37294,22.89076140042876,5007,ALDEANUEVA DE SANTA CRUZ,102,40.38196,-5.419593,37294,Base SANTA MARTA DE TORMES,40.949683,-5.631074,83.93279180157214
5008,40194,21.128205487154418,5008,ALDEASECA,203,41.049202,-4.817519,40194,Base SEGOVIA,40.94987,-4.125241,77.47008678623286
5016,40194,19.031435148808114,5016,ARÉVALO,7830,41.065505,-4.718925,40194,Base SEGOVIA,40.94987,-4.125241,69.78192887896309
5034,37294,20.58913900014658,5034,BLASCONUÑO DE MATACABRAS,14,41.123872,-4.989882,37294,Base SANTA MARTA DE TORMES,40.949683,-5.631074,75.49350966720412
5035,40194,16.935233543528888,5035,BLASCOSANCHO,100,40.878249,-4.637347,40194,Base SEGOVIA,40.94987,-4.125241,62.095856326272596
5037,37294,24.68077659527672,5037,BOHOYO,214,40.316655,-5.442655,37294,Base SANTA MARTA DE TORMES,40.949683,-5.631074,90.49618084934797
5042,40194,21.386608876218453,5042,CABEZAS DE ALAMBRE,153,40.943158,-4.840579,40194,Base SEGOVIA,40.94987,-4.125241,78.41756587946766
5048,37294,20.45798047689445,5048,CANTIVEROS,99,40.951929,-4.956185,37294,Base SANTA MARTA DE TORMES,40.949683,-5.631074,75.01259508194632
5056,47175,21.892246783009146,5056,CASTELLANOS DE ZAPARDIEL,113,41.084718,-4.908902,47175,Base TUDELA DE DUERO,41.584008,-4.58001,80.2715715377002
5059,5057,19.043643699527696,5059,CILLÁN,79,40.704366,-4.977995,5057,Base CEBREROS,40.454779,-4.464399,69.82669356493489
5060,37294,19.15781735440141,5060,CISLA,102,40.965295,-5.013227,37294,Base SANTA MARTA DE TORMES,40.949683,-5.631074,70.24533029947183
5063,37294,18.574817645508617,5063,COLLADO DEL MIRÓN,20,40.55449,-5.353557,37294,Base SANTA MARTA DE TORMES,40.949683,-5.631074,68.10766470019826
5070,47175,20.86995088408981,5070,DONVIDAS,36,41.08864,-4.804724,47175,Base TUDELA DE DUERO,41.584008,-4.58001,76.52315324166264
5022,5057,9.1286332601101,5022,EL BARRACO,2027,40.476079,-4.641142,5057,Base CEBREROS,40.454779,-4.464399,33.47165528707036
5036,40194,18.88901123994998,5036,EL BOHODÓN,110,40.916264,-4.729838,40194,Base SEGOVIA,40.94987,-4.125241,69.25970787981659
5175,5057,18.72396797840712,5175,EL OSO,129,40.842842,-4.77127,5057,Base CEBREROS,40.454779,-4.464399,68.65454925415945
5241,5057,6.452475089773049,5241,EL TIEMBLO,4526,40.415683,-4.500749,5057,Base CEBREROS,40.454779,-4.464399,23.659075329167848
5072,40194,17.169672177841598,5072,ESPINOSA DE LOS CABALLEROS,97,41.009119,-4.650974,40194,Base SEGOVIA,40.94987,-4.125241,62.95546465208586
5073,37294,17.67593276870995,5073,FLORES DE ÁVILA,270,40.934203,-5.078097,37294,Base SANTA MARTA DE TORMES,40.949683,-5.631074,64.81175348526982
5077,37294,21.551827990813827,5077,FUENTE EL SAÚZ,151,40.977514,-4.909221,37294,Base SANTA MARTA DE TORMES,40.949683,-5.631074,79.0233692996507
5080,37294,18.836693531874463,5080,GALLEGOS DE SOBRINOS,45,40.717329,-5.112086,37294,Base SANTA MARTA DE TORMES,40.949683,-5.631074,69.0678762835397
5081,5057,19.78902098714483,5081,GARGANTA DEL VILLAR,39,40.449708,-5.105238,5057,Base CEBREROS,40.454779,-4.464399,72.55974361953105
5082,5057,15.49212041881629,5082,GAVILANES,529,40.276857,-4.85384,5057,Base CEBREROS,40.454779,-4.464399,56.804441535659734
5083,5057,13.441223512403,5083,GEMUÑO,142,40.592925,-4.782303,5057,Base CEBREROS,40.454779,-4.464399,49.28448621214434
5084,37294,21.244380054244875,5084,GILBUENA,48,40.414288,-5.608838,37294,Base SANTA MARTA DE TORMES,40.949683,-5.631074,77.89606019889787
5092,5057,18.659367933666765,5092,HERNANSANCHO,142,40.857489,-4.730337,5057,Base CEBREROS,40.454779,-4.464399,68.4176824234448
5093,5057,9.014723095667831,5093,HERRADÓN DE PINARES,495,40.565312,-4.56023,5057,Base CEBREROS,40.454779,-4.464399,33.05398468411538
5095,5057,12.297271425932895,5095,HIGUERA DE LAS DUEÑAS,270,40.237883,-4.601122,5057,Base CEBREROS,40.454779,-4.464399,45.08999522842061
5106,5057,19.033248570097186,5106,HOYOS DE MIGUEL MUÑOZ,27,40.393433,-5.066902,5057,Base CEBREROS,40.454779,-4.464399,69.78857809035634
5104,5057,22.220298261200504,5104,HOYOS DEL COLLADO,30,40.358702,-5.199375,5057,Base CEBREROS,40.454779,-4.464399,81.47442695773519
5105,5057,21.74024628969796,5105,HOYOS DEL ESPINO,344,40.362041,-5.179052,5057,Base CEBREROS,40.454779,-4.464399,79.71423639555918
5051,37294,23.35005310179412,5051,LA CARRERA,160,40.347336,-5.555148,37294,Base SANTA MARTA DE TORMES,40.949683,-5.631074,85.61686137324511
5110,5057,18.316759715984862,5110,LANZAHÍTA,788,40.203679,-4.936954,5057,Base CEBREROS,40.454779,-4.464399,67.1614522919445
5027,5057,17.59080196207434,5027,LAS BERLANAS,323,40.803561,-4.761169,5057,Base CEBREROS,40.454779,-4.464399,64.49960719427258
5168,5057,10.512928972590288,5168,LAS NAVAS DEL MARQUÉS,5590,40.603046,-4.326009,5057,Base CEBREROS,40.454779,-4.464399,38.54740623283105
5113,37294,24.088341404034516,5113,LOS LLANOS DE TORMES,103,40.328312,-5.498676,37294,Base SANTA MARTA DE TORMES,40.949683,-5.631074,88.32391848145988
5114,37294,20.087730202218435,5114,MADRIGAL DE LAS ALTAS TORRES,1299,41.089759,-4.99833,37294,Base SANTA MARTA DE TORMES,40.949683,-5.631074,73.65501074146759
